Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
TP;EN1189_1997;mg/l;Total Phosphorus;Water quality. Determination of phosphorus. Ammonium molybdate spectrometric method;Colorimetry;EN 1997;EN 1997;
TP;ISO15681-2_2004;mg/l;Total Phosphorus;Determination of orthophosphate and total phosphorus contents by flow analysis (FIA and CFA) - Part;Colorimetry;15681-2;ISO 2004;
TP;ISO15681_2004;mg/l;Total Phosphorus;Determination of orthophosphate and total phosphorus contents by flow analysis (FIA and CFA);Colorimetry;ISO 2004;ISO 2004;
TP;ISO17294-2_2004;mg/l;Total Phosphorus;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
TP;ISO6878_2004;mg/l;Total Phosphorus;Determination of phosphorus - Ammonium molybdate spectrometric method;Colorimetry;ISO 2004;ISO 2004;
TP;ISO7027_1999;mg/l;Total Phosphorus;Determination of turbidity;;ISO 1999;ISO 1999;
TP;PO4-COL-ANS;mg/l;Total Phosphorus;Automated Colourimetry (Aminonaphtholsulphonic Acid);Colorimetry;ENV 575;Environment Canada 1995;A shaken sample is analyzed directly on a colourimetric autoanalyzer with ammonium molybdate and aminonaphtholsulphonic acid (ANSA reagent) after 30 min in an autoclave with H2SO4 and K2S2O8
TP;VMV_2331;mg/l;Total Phosphorus;Phosphorus by colourimetry on autoanalyser - ammonium molybdate and SnCl2 reactives VMV_2331;Colorimetry;VMV Method;VMV Method;
TP;VMV_2362;mg/l;Total Phosphorus;Phosphorus by colourimetry on autoanalyser - ammonium molybdate and SnCl2 reactives VMV_2362;Colorimetry;VMV Method;VMV Method;
TP;VMV_2925;mg/l;Total Phosphorus;Phosphorus in water is determined by colourimetry on autoanalyzer.;Colorimetry;VMV Method;VMV Method;
TP;VMV_3022;mg/l;Total Phosphorus;Orthophosphates, total dissolved phosphorus and total phosphorus using the autoanalyzer technique.;Colorimetry;VMV Method;VMV Method;
TP;VMV_3627;mg/l;Total Phosphorus;Total phosphorous by CFA colourimeter at 880 nm wavelength.;Colorimetry;VMV Method;VMV Method;Total unfiltered phosphorous using persulfate oxidation, ascorbic acid, molybdenum blue is determined by the CFA colourimeter at 880 nm wavelength.
TP;VMV_4004;mg/l;Total Phosphorus;Analysis of phosphates is done by autoclave digestion with LACHAT FIA.;Colorimetry;VMV Method;VMV Method;
TP;VMV_566;mg/l;Total Phosphorus;Phosphorus by colourimetry on autoanalyser - ammonium molybdate and SnCl2 reactives VMV_566;Colorimetry;VMV Method;VMV Method;
TP;VMV_567;mg/l;Total Phosphorus;Phosphorus by autoanalyser - ammonium molybdate, ascorbic acid and potassium antimonyl tartrate;Colorimetry;VMV Method;VMV Method;
TP;VMV_577;mg/l;Total Phosphorus;Phosphorus by colourimetry on autoanalyser - ammonium molybdate and SnCl2 reactives;Colorimetry;VMV Method;VMV Method;
TPHC;0;µg/l;Total Petroleum Hydrocarbons;;;;;Undefined Analysis Method
TPHC;VMV_3608;mg/l;Total Petroleum Hydrocarbons;Petroleum hydrocarbons in environmental samples by gas chromatography-flame ionization detector;Chromatography;VMV Method;VMV Method;
TPP;0;mg/l;Total Particulate Phosphorus;;;;;Undefined Analysis Method
TPP;VMV_598;mg/l;Total Particulate Phosphorus;Particular phosphorus = total phosphorus - total dissolved phosphorus (soluble);Calculation;VMV Method;VMV Method;
TRANS;0;m;Transparency;;;;;Undefined Analysis Method
TRANS;ISO7027_1999;m;Transparency;Determination of turbidity;;ISO 1999;ISO 1999;
TRANS;SECCI-30cm;m;Transparency;30 cm Secchi Disc;;VI-1 5;JWWA 2001;"The depth at which a 30 cm diameter disc, painted in black and white quadrants, is no longer visible in a body of water. The procedure is to record the point of disappearance as the disk is lowered, allow it to drop a little farther, and then determine the point of re-emergence as the disk is raised. The mean of the two readings is taken as the turbidity light penetration.
 In turbid waters, the precision is 1 cm and in clear waters 10 cm."
TRIALLATE;0;µg/l;Triallate;;;;;Undefined Analysis Method
TRIALLATE;VMV_2868;ng/l;Triallate;Analysis of sulphate in unfiltered samples using COBAS method;Colorimetry;VMV Method;VMV Method;
TRIALLATE;VMV_3003;ng/l;Triallate;Analysis of neutral herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
TRIBENURON;VMV_3431;ng/l;Tribenuron;Analysis of sulfonyl ureas and related herbicides by SPE and LC-MS/MS detection;Chromatography;VMV Method;VMV Method;
TRICLOPYR;0;µg/l;3,5,6-Trichloro-2-pyridinyloxyacetic acid;;;;;Undefined Analysis Method
TRICLOPYR;VMV_247;ng/l;3,5,6-Trichloro-2-pyridinyloxyacetic acid;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
TRICYCLAZOLE;0;µg/l;Tricyclazole;;;;;Undefined Analysis Method
TRIFLOXYSTROBIN;0;µg/l;Trifloxystrobin;;;;;Undefined Analysis Method
TRIFLOXYSTROBIN;VMV_3216;ng/l;Trifloxystrobin;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
TRIFLURALIN;0;µg/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;;;;;Undefined Analysis Method
TRIFLURALIN;APAT5060_2003;µg/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
TRIFLURALIN;ISO10695_2000;µg/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Determination of selected organic nitrogen and phosphorus compounds - Gas chromatographic methods;Chromatography;ISO 2000;ISO 2000;
TRIFLURALIN;MI_C_10_007REV1_2000;µg/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
TRIFLURALIN;VMV_2868;ng/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Analysis of sulphate in unfiltered samples using COBAS method;Colorimetry;VMV Method;VMV Method;
TRIFLURALIN;VMV_3003;ng/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Analysis of neutral herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
TRIFLURALIN;VMV_303;ng/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
TRIFLURALIN;VMV_3216;ng/l;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
TRP;0;mg/l;Total Reactive Phosphorus;;;;;Undefined Analysis Method
TRP;VMV_2758;mg/l;Total Reactive Phosphorus;Ortho-phosphorous is analyzed by colourimetry on an autoanalyzer.;Colorimetry;VMV Method;VMV Method;
TS;0;mg/l;Total Solids;;;;;Undefined Analysis Method
TS;TS-G;mg/l;Total Solids;Total Solids Dried at at 103-105°C;Gravimetric Analysis;SM 2540 B;APHA 2012;A small sample volume (< 1.0 mL) is homogenized and an aliquot placed in a pre-weighed 12 mm aluminium pan. The sample is evaporated to dryness at 105°C in approximately 15 minutes and then weighed to a constant weight.
TS;TS-G-170-180;mg/l;Total Solids;Total Solids Dried at at 103-105°C (170-180°C used);Gravimetric Analysis;SM 2540 B;APHA 2012;
TS;VMV_10147;mg/l;Total Solids;BC MELP EMS Code: X042;;VMV Method;VMV Method;
TS;VMV_189;mg/l;Total Solids;Solids in water;Gravimetric Analysis;VMV Method;VMV Method;
TSS;0;mg/l;Total Suspended Solids;;;;;Undefined Analysis Method
TSS;EN872_2005;mg/l;Total Suspended Solids;Determination fo Total Suspended Solids, 105°C;Gravimetric Analysis;EN 872;EC 2005;The sample aliquot is filtered through a borosilicate fiberglass filter without previously weighed binder. When filtration is complete, the residue is dried at 105 ° C and weighed again. The weight of the suspended solids is obtained by the difference between the weights, before and after drying.
TSS;TSS-G;mg/l;Total Suspended Solids;Total Suspended Solids Dried at 103-105 °C;Gravimetric Analysis;SM 2540 D;APHA 2012;Sample is passed through a weighed Gooch crucible with an asbestos mat. The crucible with its contents is dried in an oven at 103-105°C. The increase in weight over that of the Gooch crucible and asbestos mat represents the non-filterable residue (suspended matter).
TSS;VMV_10045;mg/l;Total Suspended Solids;BC MELP EMS Code: 1070;;VMV Method;VMV Method;
TSS;VMV_10046;mg/l;Total Suspended Solids;BC MELP EMS Code: 1071;;VMV Method;VMV Method;
TSS;VMV_10310;mg/l;Total Suspended Solids;BC MELP EMS Code: F042 Whole bottle, gravimetric, whole bottle, 1.2 µm GF filter, 103-5 degrees C.;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_2568;mg/l;Total Suspended Solids;Total suspended solids dried at 103-105 degrees C;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_2756;mg/l;Total Suspended Solids;Suspended, dissolved and total solids are measured gravimetrically using a filtered and dried sample;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_3463;mg/l;Total Suspended Solids;Total suspended solids in water are determined gravimetrically.;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_390;mg/l;Total Suspended Solids;Total suspended solids - 0.45 µm filter - done with metal analysis;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_396;mg/l;Total Suspended Solids;Nonfilterable residue by gravimetric method;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_401;mg/l;Total Suspended Solids;Total suspended solids by gravimetric method;Gravimetric Analysis;VMV Method;VMV Method;
TSS;VMV_430;mg/l;Total Suspended Solids;Total suspended solids by gravimetric method. Standard methods 2540 D;Gravimetric Analysis;VMV Method;VMV Method;Total suspended solids dried at 103 to 105 degrees C
TSS;VMV_476;mg/l;Total Suspended Solids;Total, fixed and volatile suspended solids - gravimetric method;Gravimetric Analysis;VMV Method;VMV Method;
TURB;0;NTU;Turbidity;;;;;Undefined Analysis Method
TURB;NEPH;NTU;Turbidity;Nephelometric Method;;SM 2130 B;APHA 2012;"In a Hach turbidimeter, a strong light beam is sent upwards through a transparent tube containing a shaken sample. The light, reflected at 90 degrees to the axis, is captured by photocells and their electrical response is proportional to the sample turbidity. The instrument is calibrated using a standard solution of Formazin. Standardization of the instrument uses a polyacrylic plastic rod, containing a special turbidity material, supplied with the instrument.
 The method detection limit is 0.02 NTU."
TURB;NEPH-JTU;JCU;Turbidity;Nephelometric Method (as Jackson Turbidity Units);;SM 2130 B;APHA 2012;"A light beam is passed through the shaken sample. The light, scattered at 90 degrees to the beam-axis, is measured by photocells. The calibration of the instrument is made using a standard suspension of Formazin (the reaction product of an aqueous solutions of hydrazine sulphate (N2H4.H2SO4) and hexamethylenetetramine solutions). Standardisation of the instrument utilises a polyacrylic plastic rod containing special turbidity material.
 The method detection limit is 0.02 Jackson Turbidity Units (JTU)."
TURB;NEPH-Ratio;NTU;Turbidity;Nephelometric Method (Ratio Turbidimeter);;SM 2130 B;APHA 2012;"Turbidity in water is caused by suspended or colloidal matter and consequently, light passing through matter is scattered. This characteristic of water that causes light scattering is referred to as turbidity. In the nephelometric method light scattered at 90 degrees to the incident light is measured. The whole water sample is shaken and poured into transparent cell or tube, which are allowed to sit for sufficient time to allow any air bubbles formed to escape before being placed in the nephelometer. A strong light beam is sent through the sample and the suspended particles reflect the light. The light which is reflected at 90 degrees to the axis is received by photo cells and their electrical response is proportional to the amount received and hence to the sample turbidity. Calibration of the instrument is made using a standard suspension of formazin- the reaction product of aqueous solutions of hydrazine sulphate and hexamethylenetetramine. The value is reported in units of NTU (nephelometric turbidity units).
 Ratiometric Method: The turbidity meter utilized has additional detectors that measures forward scattered light and light transmitted through the sample. Using a ratio of the light received by the different detectors to compute the turbidity value the variability of the turbidity reading can be reduced."
TURB;TURB-Vis-JTU;JCU;Turbidity;Visual Method (as Jackson Turbidity Units);;SM 214 B;APHA 1976;"Turbidity measurements are based on the light path through a suspension causing the image of the flame of a standard candle to disappear, meaning to become undistinguishable against the general background.
The results are reported in Jackson Turbidity Units (JTU)."
TURB;VMV_10000;NTU;Turbidity;BC MELP EMS code: XM08;;VMV Method;VMV Method;
TURB;VMV_1830;NTU;Turbidity;Turbidity measured with nephelometric method;;VMV Method;VMV Method;
TURB;VMV_188;NTU;Turbidity;Turbidity in water;;VMV Method;VMV Method;
TURB;VMV_2752;NTU;Turbidity;Turbidity is determined by comparison of light of sample and standard.;;VMV Method;VMV Method;
TURB;VMV_3033;NTU;Turbidity;Analysis of turbidity using the nephelometric technique.;;VMV Method;VMV Method;
TURB;VMV_3620;NTU;Turbidity;Field measurements are made using a multi-sonde.;Electrochemical Analysis;VMV Method;VMV Method;
TURB;VMV_46;JCU;Turbidity;Turbidity by photometry on Hach turbidimeter;;VMV Method;VMV Method;
TURB;VMV_47;NTU;Turbidity;Turbidity by nephelometric method using a Hach turbidimeter (NTU units);;VMV Method;VMV Method;
TURB;VMV_54;NTU;Turbidity;Turbidity with Hach ratio turbidimeter Model 18900;;VMV Method;VMV Method;
TetraBDE;VMV_3221;pg/l;Tetrabromodiphenylether;Analysis of polybrominated diphenyl ethers in solids using GC-HRMS Technique Q0512D0.;Chromatography;VMV Method;VMV Method;
TetraBDE;VMV_3228;pg/l;Tetrabromodiphenylether;Analysis of polybrominated diphenyl ethers (PBDE) in water, biological tissues, sediment and soils;Chromatography;VMV Method;VMV Method;CEAEQ Method not available.
Ti-Dis;0;µg/l;Titanium - Dissolved;;;;;Undefined Analysis Method
Ti-Dis;ISO15586_2003;µg/l;Titanium - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Ti-Dis;VMV_2725;µg/l;Titanium - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
Ti-Dis;VMV_2728;µg/l;Titanium - Dissolved;Dissolved metals in filtered samples by inductively coupled plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ti-Dis;VMV_3529;µg/l;Titanium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ti-Ext;VMV_1917;µg/l;Titanium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Ti-Ext;VMV_2729;µg/l;Titanium - Extractable;Extractable metals in water samples by inductively coupled plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Ti-Ext;VMV_2817;µg/l;Titanium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ti-Ext;VMV_2841;µg/l;Titanium - Extractable;Extractable elements in acid preserved samples are analyzed by ICP-MS.;Spectroscopy;VMV Method;VMV Method;
Ti-Ext;VMV_4070;µg/l;Titanium - Extractable;Extractable metals by inductively coupled plasma-collision/reaction cell-mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Ti-Tot;0;µg/l;Titanium - Total;;;;;Undefined Analysis Method
Ti-Tot;VMV_2459;µg/l;Titanium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Ti-Tot;VMV_3528;µg/l;Titanium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ti-Tot;VMV_4007;µg/l;Titanium - Total;Total metals by inductively coupled plasma-mass spectrometry with in-bottle digestion;Spectroscopy;VMV Method;VMV Method;Total metals in water with in bottle digestion are analyzed by inductively coupled plasma - collision/reaction cell - mass spectrometry (ICP-CRC-MS).
Tl-Dis;0;mg/l;Thallium - Dissolved;;;;;Undefined Analysis Method
Tl-Dis;ISO15586_2003;µg/l;Thallium - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Tl-Dis;ISO17294-2_2004;µg/l;Thallium - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Tl-Dis;VMV_1920;µg/l;Thallium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Tl-Dis;VMV_2816;µg/l;Thallium - Dissolved;Dissolved metals by inductively coupled argon plasma/mass spectrometer with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Tl-Dis;VMV_3007;µg/l;Thallium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Tl-Dis;VMV_3529;µg/l;Thallium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Tl-Dis;VMV_3584;µg/l;Thallium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Tl-Tot;0;mg/l;Thallium - Total;;;;;Undefined Analysis Method
Tl-Tot;ICP-SFMS-CVD;mg/l;Thallium - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Tl-Tot;ISO11885_2007;µg/l;Thallium - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 2007;ISO 2007;
Tl-Tot;ISO15586_2003;µg/l;Thallium - Total;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Tl-Tot;VMV_1919;µg/l;Thallium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
Tl-Tot;VMV_2459;µg/l;Thallium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Tl-Tot;VMV_2960;µg/l;Thallium - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Tl-Tot;VMV_3528;µg/l;Thallium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Tl-Tot;VMV_3583;µg/l;Thallium - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Tl-Tot;VMV_4007;µg/l;Thallium - Total;Total metals by inductively coupled plasma-mass spectrometry with in-bottle digestion;Spectroscopy;VMV Method;VMV Method;Total metals in water with in bottle digestion are analyzed by inductively coupled plasma - collision/reaction cell - mass spectrometry (ICP-CRC-MS).
U-Dis;0;mg/l;Uranium - Dissolved;;;;;Undefined Analysis Method
U-Dis;VMV_1920;µg/l;Uranium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
U-Dis;VMV_2816;µg/l;Uranium - Dissolved;Dissolved metals by inductively coupled argon plasma/mass spectrometer with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Dis;VMV_3007;µg/l;Uranium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
U-Dis;VMV_3529;µg/l;Uranium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Dis;VMV_3584;µg/l;Uranium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Ext;VMV_1917;µg/l;Uranium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
U-Ext;VMV_2729;µg/l;Uranium - Extractable;Extractable metals in water samples by inductively coupled plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
U-Ext;VMV_2817;µg/l;Uranium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Ext;VMV_4070;µg/l;Uranium - Extractable;Extractable metals by inductively coupled plasma-collision/reaction cell-mass spectrometry;Spectroscopy;VMV Method;VMV Method;
U-Tot;0;mg/l;Uranium - Total;;;;;Undefined Analysis Method
U-Tot;ISO17294-2_2004;µg/l;Uranium - Total;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
U-Tot;VMV_1919;µg/l;Uranium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
U-Tot;VMV_2459;µg/l;Uranium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
U-Tot;VMV_2960;µg/l;Uranium - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
U-Tot;VMV_3528;µg/l;Uranium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Tot;VMV_3583;µg/l;Uranium - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
U-Tot;VMV_4007;µg/l;Uranium - Total;Total metals by inductively coupled plasma-mass spectrometry with in-bottle digestion;Spectroscopy;VMV Method;VMV Method;Total metals in water with in bottle digestion are analyzed by inductively coupled plasma - collision/reaction cell - mass spectrometry (ICP-CRC-MS).
V-Dis;0;mg/l;Vanadium - Dissolved;;;;;Undefined Analysis Method
V-Dis;ISO15586_2003;µg/l;Vanadium - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
V-Dis;ISO17294-2_2004;µg/l;Vanadium - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
V-Dis;VMV_1920;µg/l;Vanadium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_2632;mg/l;Vanadium - Dissolved;Dissolved metals by inductively coupled argon plasma emission spectrometry with external nebulizer;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_2633;mg/l;Vanadium - Dissolved;Dissolved metals by ICP argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_2725;µg/l;Vanadium - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_2816;µg/l;Vanadium - Dissolved;Dissolved metals by inductively coupled argon plasma/mass spectrometer with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_3007;µg/l;Vanadium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_3017;µg/l;Vanadium - Dissolved;Dissolved metals by inductively coupled argon plasma-mass spectrometry technique (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_3529;µg/l;Vanadium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_3584;µg/l;Vanadium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
V-Dis;VMV_3744;µg/l;Vanadium - Dissolved;Analysis of dissolved metals is done by inductively coupled argon plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
V-Ext;VMV_1917;µg/l;Vanadium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
V-Ext;VMV_2628;µg/l;Vanadium - Extractable;Extractable metals by inductively coupled argon plasma (ICAP) emission.;Spectroscopy;VMV Method;VMV Method;
V-Ext;VMV_2817;µg/l;Vanadium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
V-Ext;VMV_2841;µg/l;Vanadium - Extractable;Extractable elements in acid preserved samples are analyzed by ICP-MS.;Spectroscopy;VMV Method;VMV Method;
V-Ext;VMV_4070;µg/l;Vanadium - Extractable;Extractable metals by inductively coupled plasma-collision/reaction cell-mass spectrometry;Spectroscopy;VMV Method;VMV Method;
V-Tot;0;mg/l;Vanadium - Total;;;;;Undefined Analysis Method
V-Tot;ICP-AES-Dgs;mg/l;Vanadium - Total;Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion);Spectroscopy;SM 3120 B;APHA 2012;Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis.
V-Tot;ICP-AES-Xtr;mg/l;Vanadium - Total;Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals);Spectroscopy;SM 3120 B, 3030 C;APHA 2012;A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured at 231.6 nm [Japan uses 238.204nm] and compared to identically-prepared standard and blank solutions.
V-Tot;ICP-SFMS-CVD;mg/l;Vanadium - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
V-Tot;ISO11885_1996;µg/l;Vanadium - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
V-Tot;ISO15586_2003;µg/l;Vanadium - Total;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
V-Tot;ISO17294-2_2004;µg/l;Vanadium - Total;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
V-Tot;VMV_1919;µg/l;Vanadium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
